,Voltage,rx_2
0,0.01,-1017.76180093
1,0.02,-1016.88917596
2,0.03,-1015.89174976
3,0.04,-1014.58964248
4,0.05,-1013.69221025
5,0.06,-1012.9359717
6,0.07,-1011.58807483
7,0.08,-1010.49786735
8,0.09,-1009.5606561
9,0.1,-1008.88080638
10,0.11,-1007.73923587
11,0.12,-1007.07599717
12,0.13,-1005.95846893
13,0.14,-1004.95754568
14,0.15,-1004.10666802
15,0.16,-1003.03230657
16,0.17,-1002.26798107
17,0.18,-1001.10510037
18,0.19,-1000.43934817
19,0.2,-999.284663692
20,0.21,-998.619239335
21,0.22,-997.932832636
22,0.23,-996.619141356
23,0.24,-995.9891247
24,0.25,-994.873344984
25,0.26,-994.032958499
26,0.27,-993.136946952
27,0.28,-992.132526642
28,0.29,-991.474096398
29,0.3,-990.803754305
30,0.31,-989.938451289
31,0.32,-988.766500097
32,0.33,-988.186753633
33,0.34,-987.076000937
34,0.35,-986.551442402
35,0.36,-985.55958964
36,0.37,-984.793297048
37,0.38,-984.037058494
38,0.39,-982.985100067
39,0.4,-982.445897606
40,0.41,-981.408364539
41,0.42,-980.483830122
42,0.43,-979.873047278
43,0.44,-979.139321028
44,0.45,-978.245932275
45,0.46,-977.547613726
46,0.47,-976.83027993
47,0.48,-975.834820828
48,0.49,-975.113006428
49,0.5,-974.486377545
50,0.51,-973.700304725
51,0.52,-972.822543444
52,0.53,-972.127394103
53,0.54,-971.414868761
54,0.55,-970.570220237
55,0.56,-969.857257763
56,0.57,-968.971955953
57,0.58,-968.414175378
58,0.59,-967.484941791
59,0.6,-966.954919105
60,0.61,-965.892906639
61,0.62,-965.423863883
62,0.63,-964.573314076
63,0.64,-963.907015454
64,0.65,-963.241481814
65,0.66,-962.41016582
66,0.67,-961.901344041
67,0.68,-961.02248993
68,0.69,-960.355098478
69,0.7,-959.691422649
70,0.71,-958.84546273
71,0.72,-957.98649813
72,0.73,-957.661053272
73,0.74,-956.80525788
74,0.75,-956.25884274
75,0.76,-955.385015648
76,0.77,-954.642218907
77,0.78,-953.849370539
78,0.79,-953.472016243
79,0.8,-952.745284107
80,0.81,-952.042484954
81,0.82,-951.443395394
82,0.83,-950.751415261
83,0.84,-950.155385626
84,0.85,-949.448433718
85,0.86,-948.652088293
86,0.87,-947.875632379
87,0.88,-947.437188871
88,0.89,-946.988691324
89,0.9,-946.021755092
90,0.91,-945.704615745
91,0.92,-945.077986863
92,0.93,-944.311584987
93,0.94,-943.576547341
94,0.95,-943.022045257
95,0.96,-942.509507856
96,0.97,-941.57961857
97,0.98,-941.277669564
98,0.99,-940.610059546
99,1.0,-939.90354477
100,1.01,-939.348277705
101,1.02,-938.636954476
102,1.03,-938.164196096
103,1.04,-937.480740039
104,1.05,-936.764826923
105,1.06,-936.410094214
106,1.07,-935.621835733
107,1.08,-935.181206564
108,1.09,-934.369342949
109,1.1,-933.909479968
110,1.11,-933.554310127
111,1.12,-932.737638058
112,1.13,-932.215374468
113,1.14,-931.409412136
