,Voltage,rx_2
114,1.15,-930.653610714
115,1.16,-930.29614593
116,1.17,-929.655747386
117,1.18,-929.275442448
118,1.19,-928.656791227
119,1.2,-928.072892008
120,1.21,-927.392495876
121,1.22,-926.911213421
122,1.23,-926.593199809
123,1.24,-925.796526535
124,1.25,-925.43075624
125,1.26,-924.834835889
126,1.27,-924.139358699
127,1.28,-923.765720026
128,1.29,-922.927409918
129,1.3,-922.4445975
130,1.31,-922.025715654
131,1.32,-921.197459585
132,1.33,-920.961845377
133,1.34,-920.062118207
134,1.35,-919.693069422
135,1.36,-919.180313454
136,1.37,-918.622532879
137,1.38,-918.186165749
138,1.39,-917.480853086
139,1.4,-916.894003226
140,1.41,-916.452663717
141,1.42,-915.785764039
142,1.43,-915.437260462
143,1.44,-915.086407301
144,1.45,-914.326726332
145,1.46,-913.891561314
146,1.47,-913.522075397
147,1.48,-912.636937511
148,1.49,-912.449844968
149,1.5,-911.565581347
150,1.51,-911.261282755
151,1.52,-910.821746416
152,1.53,-910.077419713
153,1.54,-909.568597934
154,1.55,-909.186489827
155,1.56,-908.786732511
156,1.57,-908.10928702
157,1.58,-907.490198666
158,1.59,-906.837888272
159,1.6,-906.797071061
160,1.61,-905.990562315
161,1.62,-905.421088456
162,1.63,-905.035100801
163,1.64,-904.426776826
164,1.65,-903.970301618
165,1.66,-903.388260211
166,1.67,-902.991344253
167,1.68,-902.831408542
168,1.69,-902.072164705
169,1.7,-901.653610707
170,1.71,-901.049384846
171,1.72,-900.564823899
172,1.73,-900.089770577
173,1.74,-899.692854619
174,1.75,-898.99092973
175,1.76,-898.597073697
176,1.77,-898.096393505
177,1.78,-897.508942588
178,1.79,-897.142789802
179,1.8,-896.597631417
180,1.81,-895.993241631
181,1.82,-895.557694123
182,1.83,-895.135315219
183,1.84,-894.640208461
184,1.85,-894.4113698
185,1.86,-893.512025122
186,1.87,-893.443668588
187,1.88,-892.778462796
188,1.89,-892.405753029
189,1.9,-891.917968234
190,1.91,-891.28117603
191,1.92,-890.668917865
192,1.93,-890.494502153
193,1.94,-889.590075813
194,1.95,-889.430959724
195,1.96,-888.81618805
196,1.97,-888.198028602
197,1.98,-888.04093425
198,1.99,-887.325130416
199,2.0,-887.186723461
200,2.01,-886.616921753
201,2.02,-885.966687737
202,2.03,-885.792873081
203,2.04,-885.288094774
204,2.05,-884.621632228
205,2.06,-884.27378435
206,2.07,-883.727041361
207,2.08,-883.321819893
208,2.09,-882.989708771
209,2.1,-882.363407738
210,2.11,-881.856990186
211,2.12,-881.534277404
212,2.13,-880.778312058
213,2.14,-880.280637149
214,2.15,-879.998031238
215,2.16,-879.556746371
216,2.17,-879.05000097
217,2.18,-878.697453922
218,2.19,-878.108309118
219,2.2,-877.629376248
220,2.21,-877.349720979
221,2.22,-876.924828566
222,2.23,-876.382183691
223,2.24,-875.929533389
224,2.25,-875.674084311
225,2.26,-875.047127579
226,2.27,-874.675838492
227,2.28,-874.106036784
228,2.29,-873.6439335
229,2.3,-873.300675509
230,2.31,-872.856330717
231,2.32,-872.080038728
232,2.33,-871.809016818
233,2.34,-871.302052851
234,2.35,-871.065127247
235,2.36,-870.476474216
236,2.37,-870.135620452
237,2.38,-869.405664467
238,2.39,-869.153493879
239,2.4,-868.757452186
240,2.41,-868.312178488
241,2.42,-867.680850436
242,2.43,-867.280164214
243,2.44,-867.084547593
244,2.45,-866.26913228
245,2.46,-866.184929707
246,2.47,-865.462404967
247,2.48,-865.174007057
248,2.49,-864.814028762
249,2.5,-864.065549304
250,2.51,-863.676993498
251,2.52,-863.549624128
252,2.53,-862.982718421
253,2.54,-862.641372883
254,2.55,-862.042119399
255,2.56,-861.675092349
256,2.57,-861.058845354
257,2.58,-860.775255897
258,2.59,-860.415769376
259,2.6,-859.888041634
260,2.61,-859.337746946
261,2.62,-858.991920804
262,2.63,-858.504518499
263,2.64,-858.104597259
264,2.65,-857.82964116
265,2.66,-857.218311901
266,2.67,-857.038213471
267,2.68,-856.527588523
268,2.69,-855.86014243
269,2.7,-855.702173813
270,2.71,-855.065873382
271,2.72,-854.704966182
272,2.73,-854.184505761
273,2.74,-854.094565829
274,2.75,-853.424278377
275,2.76,-852.817047232
276,2.77,-852.482477242
277,2.78,-852.119548306
278,2.79,-851.553352938
279,2.8,-851.332710504
280,2.81,-850.930166471
281,2.82,-850.210155241
282,2.83,-850.07693923
283,2.84,-849.741331051
284,2.85,-849.261196067
285,2.86,-848.826632106
286,2.87,-848.1637759
287,2.88,-847.905430822
288,2.89,-847.276998769
289,2.9,-847.043898071
290,2.91,-846.405630546
291,2.92,-846.030735118
292,2.93,-845.834681366
293,2.94,-845.274988338
294,2.95,-844.964242048
295,2.96,-844.377720037
296,2.97,-844.211281985
297,2.98,-843.619131898
298,2.99,-843.360677536
299,3.0,-842.719295445
300,3.01,-842.25932318
301,3.02,-841.898853112
302,3.03,-841.494615192
303,3.04,-841.009289265
304,3.05,-840.682642294
305,3.06,-840.323155773
306,3.07,-839.899520115
307,3.08,-839.650573378
308,3.09,-839.139565939
309,3.1,-838.620307631
310,3.11,-838.20847454
311,3.12,-837.854506812
312,3.13,-837.4144787
313,3.14,-837.108814071
314,3.15,-836.753480305
315,3.16,-836.149691576
316,3.17,-835.652125949
317,3.18,-835.570163678
318,3.19,-834.852447392
319,3.2,-834.408539732
320,3.21,-834.103585442
321,3.22,-833.774807453
322,3.23,-833.376580099
323,3.24,-832.759950613
324,3.25,-832.401338357
325,3.26,-832.012727909
326,3.27,-831.607670366
327,3.28,-831.201847842
328,3.29,-830.910116798
329,3.3,-830.649531418
330,3.31,-830.060386614
331,3.32,-829.560635327
332,3.33,-829.050666077
333,3.34,-828.609217285
334,3.35,-828.255085633
335,3.36,-828.262790087
336,3.37,-827.708397286
337,3.38,-827.370220956
338,3.39,-826.884020764
339,3.4,-826.331267208
340,3.41,-825.93107276
341,3.42,-825.565247824
342,3.43,-824.943536677
343,3.44,-824.728249112
344,3.45,-824.373734969
345,3.46,-823.934417197
346,3.47,-823.704212498
347,3.48,-823.102172297
348,3.49,-822.556412855
349,3.5,-822.337027177
350,3.51,-821.911041934
351,3.52,-821.319055771
352,3.53,-821.088468582
353,3.54,-820.637676091
354,3.55,-820.259775381
355,3.56,-820.001266378
356,3.57,-819.305461339
357,3.58,-819.057334223
358,3.59,-818.819097222
359,3.6,-818.389341715
360,3.61,-818.015484476
361,3.62,-817.422405483
362,3.63,-817.190670822
363,3.64,-816.892382797
364,3.65,-816.175267568
365,3.66,-816.064072087
366,3.67,-815.387774068
367,3.68,-815.2987084
368,3.69,-814.626672419
369,3.7,-814.338110584
370,3.71,-814.072607468
371,3.72,-813.717601551
372,3.73,-813.25090838
373,3.74,-812.811863815
374,3.75,-812.423963707
375,3.76,-812.156384213
376,3.77,-811.707941308
377,3.78,-811.214856285
378,3.79,-810.737344095
379,3.8,-810.248302544
380,3.81,-809.890728477
381,3.82,-809.72625752
382,3.83,-809.490534028
383,3.84,-808.865380467
384,3.85,-808.387376502
385,3.86,-807.838939626
386,3.87,-807.682391688
387,3.88,-807.245915275
388,3.89,-806.693434927
389,3.9,-806.534592045
390,3.91,-806.087023404
391,3.92,-805.584540042
392,3.93,-805.200901972
393,3.94,-805.086209434
394,3.95,-804.338549598
395,3.96,-804.153970564
396,3.97,-803.818253102
397,3.98,-803.485650206
398,3.99,-803.095619079
399,4.0,-802.655481684
400,4.01,-802.342221884
401,4.02,-801.912684942
402,4.03,-801.479541661
403,4.04,-801.033666907
404,4.05,-800.432555611
405,4.06,-800.380755456
406,4.07,-799.880020622
407,4.08,-799.449281567
408,4.09,-798.977178886
409,4.1,-798.642882103
410,4.11,-798.451964653
411,4.12,-797.931121742
412,4.13,-797.56507824
413,4.14,-797.218814965
414,4.15,-796.851787916
415,4.16,-796.473668639
416,4.17,-795.766716731
417,4.18,-795.758902994
418,4.19,-795.049164369
419,4.2,-794.938679228
420,4.21,-794.47247783
421,4.22,-794.100587686
422,4.23,-793.727823278
423,4.24,-793.329268075
424,4.25,-792.705316626
425,4.26,-792.626304997
426,4.27,-792.192451376
427,4.28,-791.953722601
428,4.29,-791.475008297
429,4.3,-790.987988483
430,4.31,-790.55009139
431,4.32,-790.355239751
432,4.33,-789.755603776
433,4.34,-789.61353584
434,4.35,-789.061875114
435,4.36,-788.845877209
436,4.37,-788.376124114
437,4.38,-787.855991542
438,4.39,-787.649555902
439,4.4,-787.20592145
440,4.41,-786.765237639
441,4.42,-786.468097086
442,4.43,-786.079923771
443,4.44,-785.7742045
444,4.45,-785.452038134
445,4.46,-784.882345709
446,4.47,-784.363688458
447,4.48,-784.225062937
448,4.49,-783.970433482
449,4.5,-783.519859557
450,4.51,-783.09840956
451,4.52,-782.730726812
452,4.53,-782.483036829
453,4.54,-781.899192252
454,4.55,-781.60352702
455,4.56,-781.014873989
456,4.57,-780.895646206
457,4.58,-780.486108058
458,4.59,-780.283388041
459,4.6,-779.791286566
460,4.61,-779.589932587
461,4.62,-779.086301753
462,4.63,-778.438471963
463,4.64,-778.273946364
464,4.65,-777.769550548
465,4.66,-777.411976481
466,4.67,-776.956539462
467,4.68,-776.601916036
468,4.69,-776.166860301
469,4.7,-775.962555681
470,4.71,-775.458378431
471,4.72,-775.311884532
472,4.73,-774.856119664
473,4.74,-774.477836462
474,4.75,-774.02660684
475,4.76,-773.82667354
476,4.77,-773.316212516
477,4.78,-772.856240251
478,4.79,-772.781053528
479,4.8,-772.039404259
480,4.81,-771.997658142
481,4.82,-771.511239384
482,4.83,-771.156834524
483,4.84,-770.755875095
484,4.85,-770.403054839
485,4.86,-770.177221462
486,4.87,-769.808828374
487,4.88,-769.17454968
488,4.89,-769.175423944
489,4.9,-768.600649858
490,4.91,-768.090079551
491,4.92,-767.919106254
492,4.93,-767.574427584
493,4.94,-767.149261963
494,4.95,-767.077900146
495,4.96,-766.515365759
496,4.97,-766.258659927
497,4.98,-765.821964947
498,4.99,-1018.03205786
499,5.0,-1017.21112376
