,Voltage,tx_3
213,2.14,-875.968110298
214,2.15,-875.448087009
215,2.16,-875.238591444
216,2.17,-874.585406786
217,2.18,-874.0019447
218,2.19,-873.51077213
219,2.2,-873.306248943
220,2.21,-872.493784272
221,2.22,-872.221450966
222,2.23,-871.700334847
223,2.24,-871.396637312
224,2.25,-871.020539771
225,2.26,-870.308834051
226,2.27,-870.131959471
227,2.28,-869.428449978
228,2.29,-868.922852049
229,2.3,-868.666856556
230,2.31,-868.094705263
231,2.32,-867.704619494
232,2.33,-867.185743677
233,2.34,-866.732437677
234,2.35,-866.211485483
235,2.36,-865.902159872
236,2.37,-865.143243884
237,2.38,-864.802881893
238,2.39,-864.334440194
239,2.4,-864.211442146
240,2.41,-863.701582179
241,2.42,-863.160795115
242,2.43,-863.089378656
243,2.44,-862.325599573
244,2.45,-861.62460359
245,2.46,-861.280143486
246,2.47,-860.782796426
247,2.48,-860.630401243
248,2.49,-860.080215839
249,2.5,-859.583579118
250,2.51,-859.067763226
251,2.52,-858.67489074
252,2.53,-858.01695227
253,2.54,-857.984986984
254,2.55,-857.287706624
255,2.56,-856.985320486
256,2.57,-856.47551516
257,2.58,-856.026744406
258,2.59,-855.523823911
259,2.6,-855.344818311
260,2.61,-854.914352464
261,2.62,-854.259801768
262,2.63,-854.023695786
263,2.64,-853.301772103
264,2.65,-852.876278633
265,2.66,-852.37882229
266,2.67,-852.186921293
267,2.68,-851.612037924
268,2.69,-851.483193234
269,2.7,-850.979780965
270,2.71,-850.299876607
271,2.72,-849.71570418
272,2.73,-849.548064016
273,2.74,-848.895261848
274,2.75,-848.457036906
275,2.76,-848.253934398
276,2.77,-847.809480323
277,2.78,-847.53217464
278,2.79,-846.90024553
279,2.8,-846.631518564
280,2.81,-846.30618299
281,2.82,-845.543278172
282,2.83,-845.301981246
283,2.84,-845.084453379
284,2.85,-844.386626603
285,2.86,-843.918512753
286,2.87,-843.658145939
287,2.88,-842.992448374
288,2.89,-842.820327605
289,2.9,-842.286971786
290,2.91,-841.928523455
291,2.92,-841.650889922
292,2.93,-840.952844581
293,2.94,-840.77597
294,2.95,-840.262011919
295,2.96,-839.807121315
296,2.97,-839.452825738
297,2.98,-839.051319893
298,2.99,-838.60112846
299,3.0,-837.99264056
300,3.01,-837.908000855
301,3.02,-837.235527742
302,3.03,-836.87095956
303,3.04,-836.546061118
304,3.05,-836.211163279
305,3.06,-835.552733035
306,3.07,-835.302748109
307,3.08,-834.856217656
308,3.09,-834.46296268
309,3.1,-834.037250645
310,3.11,-833.507665091
311,3.12,-833.123316681
312,3.13,-832.727384271
313,3.14,-832.16867479
314,3.15,-831.811756421
315,3.16,-831.550569984
316,3.17,-831.030655978
317,3.18,-830.816188036
318,3.19,-830.329058939
319,3.2,-829.748383569
320,3.21,-829.289449493
321,3.22,-828.844011871
322,3.23,-828.34049032
323,3.24,-828.363494397
324,3.25,-827.606436221
325,3.26,-827.487372362
326,3.27,-826.905932011
327,3.28,-826.589666928
328,3.29,-826.170238667
329,3.3,-825.581804202
330,3.31,-825.098773219
331,3.32,-824.998232833
332,3.33,-824.629184047
333,3.34,-824.102275928
334,3.35,-823.746559672
335,3.36,-823.137252149
336,3.37,-822.884043373
337,3.38,-822.531605608
338,3.39,-821.932625332
339,3.4,-821.725533994
340,3.41,-821.262884295
341,3.42,-821.004593858
342,3.43,-820.674504472
343,3.44,-820.054432571
344,3.45,-819.737020016
345,3.46,-819.243388579
346,3.47,-818.859313377
347,3.48,-818.60462928
348,3.49,-818.344754239
349,3.5,-817.721075999
350,3.51,-817.214221315
351,3.52,-816.801677884
352,3.53,-816.18401021
353,3.54,-815.732398097
354,3.55,-815.46831566
355,3.56,-815.432798675
356,3.57,-814.784203904
357,3.58,-814.338493075
358,3.59,-814.033156294
359,3.6,-813.633344336
360,3.61,-813.000486321
361,3.62,-812.898962388
362,3.63,-812.598597986
363,3.64,-812.357628909
364,3.65,-811.413860679
365,3.66,-811.085629105
366,3.67,-810.480966111
367,3.68,-810.181202765
368,3.69,-810.220544655
369,3.7,-809.406222172
370,3.71,-809.019906668
371,3.72,-808.807296537
372,3.73,-808.499610172
373,3.74,-808.23607415
374,3.75,-807.722607843
375,3.76,-807.418691742
376,3.77,-807.0129785
377,3.78,-806.562950991
378,3.79,-806.1511179
379,3.8,-805.766550925
380,3.81,-805.362313004
381,3.82,-804.94097229
382,3.83,-804.512036405
383,3.84,-803.904258845
384,3.85,-803.901253561
385,3.86,-803.335713891
386,3.87,-803.065839454
387,3.88,-802.524123484
388,3.89,-802.088138844
389,3.9,-801.781381384
390,3.91,-801.295345117
391,3.92,-800.914876255
392,3.93,-800.489000295
393,3.94,-800.206886158
394,3.95,-799.928159796
395,3.96,-799.328032047
396,3.97,-799.185089847
397,3.98,-798.571738852
398,3.99,-798.382569931
399,4.0,-798.07903632
400,4.01,-797.62862632
401,4.02,-797.055764688
402,4.03,-796.734417944
403,4.04,-796.174397067
404,4.05,-795.843488058
405,4.06,-795.553997317
406,4.07,-795.108122563
407,4.08,-794.892889639
408,4.09,-794.349151933
409,4.1,-794.173807315
410,4.11,-793.76290313
411,4.12,-792.917817474
412,4.13,-792.904539586
413,4.14,-792.420798263
414,4.15,-791.943340713
415,4.16,-791.812966061
416,4.17,-791.417142934
417,4.18,-790.886027418
418,4.19,-790.326061182
419,4.2,-790.015806666
420,4.21,-789.879585371
421,4.22,-789.284102152
422,4.23,-788.905764309
423,4.24,-788.544037486
424,4.25,-788.151110359
425,4.26,-787.692394849
426,4.27,-787.537814006
427,4.28,-787.042761889
428,4.29,-786.560441245
429,4.3,-786.445256934
430,4.31,-785.867258998
431,4.32,-785.742020648
432,4.33,-785.059712063
433,4.34,-784.777160794
434,4.35,-784.518433225
435,4.36,-783.767822748
436,4.37,-783.874646907
437,4.38,-783.283862858
438,4.39,-782.940768792
439,4.4,-782.787772553
440,4.41,-782.061313624
441,4.42,-781.834332775
442,4.43,-781.367584962
443,4.44,-780.922693755
444,4.45,-780.695385057
445,4.46,-780.467857793
446,4.47,-779.726754938
447,4.48,-779.706428295
448,4.49,-779.016142049
449,4.5,-778.867571772
450,4.51,-778.333396331
451,4.52,-778.061063026
452,4.53,-777.73676564
453,4.54,-777.395529385
454,4.55,-776.967085274
455,4.56,-776.455695344
456,4.57,-776.074843992
457,4.58,-775.987745419
458,4.59,-775.592905838
459,4.6,-775.177083917
460,4.61,-774.579469678
461,4.62,-774.357133358
462,4.63,-774.054091521
463,4.64,-773.613353069
464,4.65,-773.287962853
