,Voltage,tx_1
0,0.01,-1020.54283543
1,0.02,-1019.48759851
2,0.03,-1018.57727089
3,0.04,-1017.74125572
4,0.05,-1016.69465217
5,0.06,-1015.55745298
6,0.07,-1014.88809443
7,0.08,-1013.5753867
8,0.09,-1012.61457031
9,0.1,-1011.60512299
10,0.11,-1010.50376863
11,0.12,-1009.63966773
12,0.13,-1008.94123989
13,0.14,-1007.9979088
14,0.15,-1006.85021844
15,0.16,-1006.02447588
16,0.17,-1005.09917648
17,0.18,-1004.04284673
18,0.19,-1003.21349783
19,0.2,-1002.24109745
20,0.21,-1001.10225901
21,0.22,-1000.64687664
22,0.23,-999.607485757
23,0.24,-998.720653985
24,0.25,-997.875896178
25,0.26,-997.100423812
26,0.27,-996.02125391
27,0.28,-995.031805375
28,0.29,-994.465500724
29,0.3,-993.460424715
30,0.31,-992.625939513
31,0.32,-991.537152705
32,0.33,-990.939483825
33,0.34,-989.880640567
34,0.35,-989.414220604
35,0.36,-988.316363304
36,0.37,-987.499909802
37,0.38,-986.652201354
38,0.39,-985.847659702
39,0.4,-984.963450722
40,0.41,-984.101644764
41,0.42,-983.519056941
42,0.43,-982.673097022
43,0.44,-981.824295743
44,0.45,-981.117125269
45,0.46,-980.325041882
46,0.47,-979.440286487
47,0.48,-978.355871001
48,0.49,-978.073811505
49,0.5,-977.00065217
50,0.51,-976.45926405
51,0.52,-975.69450142
52,0.53,-974.951267546
53,0.54,-973.838110623
54,0.55,-973.515944257
55,0.56,-972.513163192
56,0.57,-972.000844357
57,0.58,-971.014455746
58,0.59,-970.232426398
59,0.6,-969.574761135
60,0.61,-968.729894046
61,0.62,-968.175610528
62,0.63,-967.420792653
63,0.64,-966.622807983
64,0.65,-966.016505744
65,0.66,-965.263654964
66,0.67,-964.475833615
67,0.68,-963.950400816
68,0.69,-962.895819596
69,0.7,-962.300117811
70,0.71,-961.877520341
71,0.72,-961.279851461
72,0.73,-960.232373638
73,0.74,-959.556348827
74,0.75,-958.80360733
75,0.76,-958.364180274
76,0.77,-957.680614934
77,0.78,-957.116605227
78,0.79,-956.209228245
79,0.8,-955.715487525
80,0.81,-955.068422716
81,0.82,-954.18071668
82,0.83,-953.628618822
83,0.84,-952.914344951
84,0.85,-952.475136462
85,0.86,-951.814192708
86,0.87,-951.114672046
87,0.88,-950.273957712
88,0.89,-949.744153592
89,0.9,-949.127032333
90,0.91,-948.158675422
91,0.92,-947.829733508
92,0.93,-947.115678203
93,0.94,-946.422714522
94,0.95,-946.227316468
95,0.96,-945.292946579
96,0.97,-944.474416699
97,0.98,-944.089412591
98,0.99,-943.314595923
99,1.0,-942.660099868
100,1.01,-942.2967338
101,1.02,-941.392416743
102,1.03,-941.051781545
103,1.04,-940.229863892
104,1.05,-939.823112461
105,1.06,-939.105122968
106,1.07,-938.612802926
107,1.08,-937.917653585
108,1.09,-937.302280855
109,1.1,-936.766029036
110,1.11,-936.140602267
111,1.12,-935.827615675
112,1.13,-934.76024834
113,1.14,-934.388576762
114,1.15,-933.820960715
115,1.16,-933.455408986
116,1.17,-932.460933431
117,1.18,-932.082158456
118,1.19,-931.469736368
119,1.2,-930.928020398
120,1.21,-930.646179469
121,1.22,-929.849506194
122,1.23,-929.283857242
123,1.24,-928.497238006
124,1.25,-928.042729893
125,1.26,-927.31359353
126,1.27,-926.921267459
127,1.28,-926.219779703
128,1.29,-926.0060221
129,1.3,-925.409336767
130,1.31,-924.751890071
131,1.32,-924.060893485
132,1.33,-923.468798039
133,1.34,-923.140293257
134,1.35,-922.416621045
135,1.36,-921.798953371
136,1.37,-921.332424125
137,1.38,-920.74218649
138,1.39,-920.475754468
139,1.4,-919.868140832
140,1.41,-919.288285086
141,1.42,-918.567782082
142,1.43,-918.032404528
143,1.44,-917.558444036
144,1.45,-917.103389507
145,1.46,-916.526101912
146,1.47,-915.906084652
147,1.48,-915.491792693
148,1.49,-914.884670831
149,1.5,-914.559007408
150,1.51,-914.057289026
151,1.52,-913.564695778
152,1.53,-912.692344007
153,1.54,-912.377608886
154,1.55,-911.721692152
155,1.56,-911.472909339
156,1.57,-910.86808242
157,1.58,-910.101352696
158,1.59,-909.574280652
159,1.6,-909.044695098
160,1.61,-908.678706237
161,1.62,-908.349818965
162,1.63,-907.754554311
163,1.64,-907.181583395
164,1.65,-906.615715876
165,1.66,-906.303822115
166,1.67,-905.901988421
167,1.68,-905.24836663
168,1.69,-904.734845682
169,1.7,-904.180726088
170,1.71,-903.376894776
171,1.72,-903.026697313
172,1.73,-902.501209872
173,1.74,-902.208222074
174,1.75,-901.851085139
175,1.76,-901.113096851
176,1.77,-900.640010623
177,1.78,-900.117801673
178,1.79,-899.718372206
179,1.8,-899.019561884
180,1.81,-898.416865984
181,1.82,-898.246220536
182,1.83,-897.805973858
183,1.84,-897.239614565
184,1.85,-896.575938736
185,1.86,-896.103234998
186,1.87,-895.588894427
187,1.88,-895.396884147
188,1.89,-894.605948232
189,1.9,-894.384103685
190,1.91,-893.560656069
191,1.92,-893.013639872
192,1.93,-892.870479106
193,1.94,-892.154620631
194,1.95,-891.81026981
195,1.96,-891.162986435
196,1.97,-890.86721192
197,1.98,-890.051140908
198,1.99,-889.574666906
199,2.0,-889.182559401
200,2.01,-888.860611601
201,2.02,-888.204749508
202,2.03,-887.827504496
203,2.04,-887.708003505
204,2.05,-887.059572658
205,2.06,-886.627030433
206,2.07,-886.107772126
207,2.08,-885.437266108
208,2.09,-885.131546837
209,2.1,-884.581743923
210,2.11,-884.191548871
211,2.12,-883.563553951
212,2.13,-883.168167956
213,2.14,-882.702349049
214,2.15,-882.337070528
215,2.16,-881.923379625
216,2.17,-881.337567954
217,2.18,-880.561986304
218,2.19,-880.40052063
219,2.2,-880.033220373
220,2.21,-879.465713609
221,2.22,-879.051367008
222,2.23,-878.403537218
223,2.24,-878.098692212
224,2.25,-877.415673287
225,2.26,-877.218472063
226,2.27,-876.690908245
227,2.28,-875.939041012
228,2.29,-875.539611545
229,2.3,-875.526279016
230,2.31,-874.73026144
231,2.32,-874.398423525
232,2.33,-873.792175927
233,2.34,-873.647485198
234,2.35,-873.195654519
235,2.36,-872.749287991
236,2.37,-872.155498659
237,2.38,-871.791640817
238,2.39,-871.137254045
239,2.4,-870.831862623
240,2.41,-870.463578819
241,2.42,-869.686958981
242,2.43,-869.433531639
243,2.44,-868.940555899
244,2.45,-868.415997365
245,2.46,-868.11951251
246,2.47,-867.568616766
247,2.48,-867.347209351
248,2.49,-866.787898814
249,2.5,-866.458410485
250,2.51,-865.878554738
251,2.52,-865.488031837
252,2.53,-865.145757394
253,2.54,-864.452739072
254,2.55,-863.994788543
255,2.56,-863.67562746
256,2.57,-862.910919471
257,2.58,-862.79070814
258,2.59,-862.414665241
259,2.6,-861.962725279
260,2.61,-861.47373837
261,2.62,-861.066058034
262,2.63,-860.479372098
263,2.64,-859.975140207
264,2.65,-859.688545466
265,2.66,-859.228791768
266,2.67,-858.747946444
267,2.68,-858.327261428
268,2.69,-857.576705592
269,2.7,-857.543920683
270,2.71,-856.834892398
271,2.72,-856.690857367
272,2.73,-856.224546686
273,2.74,-855.766049742
274,2.75,-855.522785722
275,2.76,-854.977463412
276,2.77,-854.627102025
277,2.78,-853.992222274
278,2.79,-853.512852271
279,2.8,-853.116592012
280,2.81,-852.728527979
281,2.82,-852.389914517
282,2.83,-851.92010678
283,2.84,-851.470680327
284,2.85,-851.133378261
285,2.86,-850.559587723
286,2.87,-850.14912067
287,2.88,-849.574619791
288,2.89,-849.219012818
289,2.9,-848.876191959
290,2.91,-848.517525062
291,2.92,-847.928872031
292,2.93,-847.52315879
293,2.94,-847.391636666
294,2.95,-846.722933817
295,2.96,-846.306401556
296,2.97,-846.052045308
297,2.98,-845.740370113
298,2.99,-845.170349839
299,3.0,-844.466785704
300,3.01,-844.239531648
301,3.02,-843.619077256
302,3.03,-843.213582581
303,3.04,-842.938462558
304,3.05,-842.216156384
305,3.06,-841.739409175
306,3.07,-841.870166318
307,3.08,-841.062400816
308,3.09,-840.815967588
309,3.1,-840.547568471
310,3.11,-839.928370835
311,3.12,-839.430969133
312,3.13,-839.122080654
313,3.14,-838.643858124
314,3.15,-838.306064284
315,3.16,-837.923628328
316,3.17,-837.627471322
317,3.18,-837.13766479
318,3.19,-836.745448003
319,3.2,-836.382464425
320,3.21,-835.83009336
321,3.22,-835.409517627
322,3.23,-835.260018445
323,3.24,-834.580715143
324,3.25,-834.161122957
325,3.26,-833.865894857
326,3.27,-833.239867031
327,3.28,-832.700172797
328,3.29,-832.814646769
329,3.3,-832.078898783
330,3.31,-831.746787661
331,3.32,-831.225289051
332,3.33,-830.923230762
333,3.34,-830.445718571
334,3.35,-830.100602769
