,Voltage,rx_1
243,2.44,-870.597068038
244,2.45,-869.752692722
245,2.46,-869.191524373
246,2.47,-869.178902184
247,2.48,-868.756250073
248,2.49,-868.484189975
249,2.5,-867.458459474
250,2.51,-867.322948519
251,2.52,-867.074274989
252,2.53,-866.316287907
253,2.54,-866.187825707
254,2.55,-865.346892807
255,2.56,-865.012923873
256,2.57,-864.607920972
257,2.58,-863.911350951
258,2.59,-863.618636361
259,2.6,-863.287836635
260,2.61,-862.961517513
261,2.62,-862.446302678
262,2.63,-861.886117876
263,2.64,-861.37593006
264,2.65,-860.986773197
265,2.66,-860.647394754
266,2.67,-860.279657365
267,2.68,-859.889298389
268,2.69,-859.539538058
269,2.7,-858.986565936
270,2.71,-858.640193379
271,2.72,-857.79100961
272,2.73,-857.632713144
273,2.74,-857.416933805
274,2.75,-856.897511573
275,2.76,-856.446883007
276,2.77,-855.946476022
277,2.78,-855.260233247
278,2.79,-855.135158822
279,2.8,-854.923204389
280,2.81,-854.348375662
281,2.82,-853.587219372
282,2.83,-853.288767422
283,2.84,-852.89600422
284,2.85,-852.486848563
285,2.86,-851.982780596
286,2.87,-851.812462997
287,2.88,-851.136164978
288,2.89,-850.740997549
289,2.9,-850.45986696
290,2.91,-849.977327749
291,2.92,-849.603689077
292,2.93,-849.047930238
293,2.94,-848.51637759
294,2.95,-848.357534709
295,2.96,-847.634244988
296,2.97,-847.266944731
297,2.98,-846.918878286
298,2.99,-846.307439745
299,3.0,-846.14269558
300,3.01,-845.818616761
301,3.02,-845.015113297
302,3.03,-844.879110569
303,3.04,-844.357611959
304,3.05,-844.035554876
305,3.06,-843.838681501
306,3.07,-843.3586558
307,3.08,-842.892836894
308,3.09,-842.454775876
309,3.1,-842.072886335
310,3.11,-841.585757237
311,3.12,-841.037047154
312,3.13,-840.683899049
313,3.14,-840.438285443
314,3.15,-839.738273007
315,3.16,-839.520690499
316,3.17,-839.114540125
317,3.18,-838.772320323
318,3.19,-838.27994564
319,3.2,-837.956140028
320,3.21,-837.483873423
321,3.22,-836.934125151
322,3.23,-836.708291773
323,3.24,-836.264001623
324,3.25,-835.926972765
325,3.26,-835.299251052
326,3.27,-834.921404983
327,3.28,-834.706882399
328,3.29,-834.38318607
329,3.3,-833.932994636
330,3.31,-833.622794761
331,3.32,-832.824755449
332,3.33,-832.703396646
333,3.34,-832.138840524
334,3.35,-831.723838225
335,3.36,-831.407190651
336,3.37,-830.744498369
337,3.38,-830.496644462
338,3.39,-830.058037029
339,3.4,-829.660028241
340,3.41,-829.398186106
341,3.42,-829.011542753
342,3.43,-828.496874333
343,3.44,-828.255468124
344,3.45,-827.62736392
345,3.46,-827.288477251
346,3.47,-826.729112072
347,3.48,-826.297608036
348,3.49,-825.967026876
349,3.5,-825.682016739
350,3.51,-825.35832041
351,3.52,-824.99271404
352,3.53,-824.510775887
353,3.54,-824.126208911
354,3.55,-823.855187002
355,3.56,-823.437343344
356,3.57,-822.941908737
357,3.58,-822.465653301
358,3.59,-822.298832758
359,3.6,-821.461014424
360,3.61,-821.361512227
361,3.62,-820.998310084
362,3.63,-820.283708364
363,3.64,-819.975147734
364,3.65,-819.770132774
365,3.66,-819.294423753
366,3.67,-819.122302984
367,3.68,-818.284593933
368,3.69,-818.051547875
369,3.7,-817.657855767
370,3.71,-817.234657241
371,3.72,-817.096523494
372,3.73,-816.332635128
373,3.74,-816.20204191
374,3.75,-815.439519582
375,3.76,-815.318816477
376,3.77,-815.100031855
377,3.78,-814.428870139
378,3.79,-814.145827096
379,3.8,-813.609028863
380,3.81,-813.298009365
381,3.82,-813.048461571
382,3.83,-812.562261379
383,3.84,-812.135620438
384,3.85,-811.678708098
385,3.86,-811.464677287
386,3.87,-811.066067443
387,3.88,-810.674998127
388,3.89,-810.246827223
389,3.9,-809.816252093
390,3.91,-809.464360743
391,3.92,-809.223227742
392,3.93,-808.799756008
393,3.94,-808.311479439
394,3.95,-807.8213997
395,3.96,-807.258264257
396,3.97,-807.130949529
397,3.98,-806.513882912
398,3.99,-806.559180727
399,4.0,-805.778462775
400,4.01,-805.848349271
401,4.02,-805.276088695
402,4.03,-804.886166851
403,4.04,-804.488704478
404,4.05,-804.193476378
405,4.06,-803.491824697
406,4.07,-803.058899982
407,4.08,-803.061031001
408,4.09,-802.340746563
409,4.1,-802.227638629
410,4.11,-801.747776853
411,4.12,-801.259445643
412,4.13,-801.07891008
413,4.14,-800.387257796
414,4.15,-799.92652055
415,4.16,-799.760191781
