,Voltage,rx_3
0,0.01,-1023.66253803
1,0.02,-1022.72860527
2,0.03,-1021.60954707
3,0.04,-1020.47365927
4,0.05,-1019.62365588
5,0.06,-1018.36056264
6,0.07,-1017.34816467
7,0.08,-1016.39729305
8,0.09,-1015.42598549
9,0.1,-1014.55598331
10,0.11,-1013.64707636
11,0.12,-1012.69412836
12,0.13,-1011.8922095
13,0.14,-1010.61250524
14,0.15,-1009.76938668
15,0.16,-1008.79578418
16,0.17,-1007.83726275
17,0.18,-1006.91382116
18,0.19,-1006.06305279
19,0.2,-1005.11666176
20,0.21,-1004.36676163
21,0.22,-1003.36234132
22,0.23,-1002.59003816
23,0.24,-1001.54070252
24,0.25,-1000.69878607
25,0.26,-999.66606146
26,0.27,-999.301821128
27,0.28,-998.128777105
28,0.29,-997.203805556
29,0.3,-996.344075975
30,0.31,-995.527185341
31,0.32,-994.557735599
32,0.33,-993.927828226
33,0.34,-992.896633574
34,0.35,-992.119631245
35,0.36,-991.362846276
36,0.37,-990.617536025
37,0.38,-989.653550435
38,0.39,-988.844637462
39,0.4,-988.080858379
40,0.41,-987.288556426
41,0.42,-986.545431836
42,0.43,-985.728104069
43,0.44,-985.054483485
44,0.45,-984.188196922
45,0.46,-983.232298276
46,0.47,-982.463601457
47,0.48,-981.68812909
48,0.49,-980.884133853
49,0.5,-980.157620283
50,0.51,-979.559404988
51,0.52,-978.750492015
52,0.53,-977.812187936
53,0.54,-976.940765071
54,0.55,-976.475547221
55,0.56,-975.71832512
56,0.57,-974.944382716
57,0.58,-974.08159321
58,0.59,-973.556160411
59,0.6,-972.794566989
60,0.61,-971.935383823
61,0.62,-971.451150726
62,0.63,-970.56453752
63,0.64,-969.795840701
64,0.65,-968.997418898
65,0.66,-968.548265653
66,0.67,-967.725364452
67,0.68,-967.091741456
68,0.69,-966.269277387
69,0.7,-965.4533703
70,0.71,-964.775050546
71,0.72,-964.140553285
72,0.73,-963.435459188
73,0.74,-962.871449481
74,0.75,-962.169852441
75,0.76,-961.367824299
76,0.77,-960.56448476
77,0.78,-960.030090753
78,0.79,-959.568479243
79,0.8,-958.918135943
80,0.81,-958.231401395
81,0.82,-957.584555153
82,0.83,-956.666905566
83,0.84,-955.971428376
84,0.85,-955.600849628
85,0.86,-954.777620578
86,0.87,-954.232735401
87,0.88,-953.460104393
88,0.89,-953.060674926
89,0.9,-952.278317728
90,0.91,-951.81605052
91,0.92,-951.069210306
92,0.93,-950.364006927
93,0.94,-949.778796312
94,0.95,-949.123207427
95,0.96,-948.69962641
96,0.97,-947.646575153
97,0.98,-947.245834289
98,0.99,-946.73122051
99,1.0,-945.96645788
100,1.01,-945.398951116
101,1.02,-944.979850703
102,1.03,-944.051272815
103,1.04,-943.772710376
104,1.05,-943.127066247
105,1.06,-942.309519914
106,1.07,-942.016641399
107,1.08,-941.33056255
108,1.09,-940.876491568
109,1.1,-939.808140687
110,1.11,-939.649352447
111,1.12,-938.821424227
112,1.13,-938.249436858
113,1.14,-937.982676987
114,1.15,-937.059016834
115,1.16,-936.538283206
116,1.17,-936.226935859
117,1.18,-935.443048699
118,1.19,-934.827129554
119,1.2,-934.354371174
120,1.21,-933.835386075
121,1.22,-933.123734996
122,1.23,-932.71064515
123,1.24,-932.079426381
124,1.25,-931.4044944
125,1.26,-930.895563338
126,1.27,-930.299642987
127,1.28,-929.722082184
128,1.29,-929.465813483
129,1.3,-928.687281192
130,1.31,-928.081525368
131,1.32,-927.794001721
132,1.33,-927.055467018
133,1.34,-926.567627581
134,1.35,-926.329718429
135,1.36,-925.59063731
136,1.37,-924.841174304
137,1.38,-924.366667397
138,1.39,-924.065811221
139,1.4,-923.402026109
140,1.41,-922.880308933
141,1.42,-922.315315678
142,1.43,-921.742563329
143,1.44,-921.2218297
144,1.45,-920.985122662
145,1.46,-920.031628242
146,1.47,-919.70454414
147,1.48,-919.290798596
148,1.49,-918.627997031
149,1.5,-918.010985055
150,1.51,-917.705976124
151,1.52,-917.14174785
152,1.53,-916.593474899
153,1.54,-916.074325874
154,1.55,-915.516272092
155,1.56,-915.056299827
156,1.57,-914.68359006
157,1.58,-914.069801933
158,1.59,-913.629227406
159,1.6,-912.912385384
160,1.61,-912.612130264
161,1.62,-912.129263205
162,1.63,-911.46897515
163,1.64,-910.816391548
164,1.65,-910.473789255
165,1.66,-909.969120232
166,1.67,-909.471499964
167,1.68,-909.014696907
168,1.69,-908.635703366
169,1.7,-908.20239616
170,1.71,-907.703355213
171,1.72,-907.262452836
172,1.73,-906.433377144
173,1.74,-906.1091344
174,1.75,-905.497586576
175,1.76,-904.847461842
176,1.77,-904.671133676
177,1.78,-904.047564719
178,1.79,-903.564096603
179,1.8,-903.070902297
180,1.81,-902.553938933
181,1.82,-902.114457236
182,1.83,-901.790651624
183,1.84,-901.393407818
184,1.85,-900.881963247
185,1.86,-900.387020413
186,1.87,-899.705039677
187,1.88,-899.20818439
188,1.89,-898.670184043
189,1.9,-898.460797761
