,Voltage,tx_2
0,0.01,-1023.55937485
1,0.02,-1022.46534246
2,0.03,-1021.40431354
3,0.04,-1020.61944283
4,0.05,-1019.46093345
5,0.06,-1018.5359619
6,0.07,-1017.75546252
7,0.08,-1016.57739148
8,0.09,-1015.62291351
9,0.1,-1014.48101515
10,0.11,-1013.71046052
11,0.12,-1012.97116084
12,0.13,-1011.87800271
13,0.14,-1010.85391145
14,0.15,-1009.96522187
15,0.16,-1009.04790013
16,0.17,-1008.11921296
17,0.18,-1007.23008624
18,0.19,-1006.36664104
19,0.2,-1005.53281153
20,0.21,-1004.54216089
21,0.22,-1003.53238571
22,0.23,-1002.78248557
23,0.24,-1001.84593002
24,0.25,-1001.02368452
25,0.26,-1000.32481955
26,0.27,-999.270019766
27,0.28,-998.3870129
28,0.29,-997.584766192
29,0.3,-996.959885838
30,0.31,-995.793726646
31,0.32,-995.080654888
32,0.33,-994.159398962
33,0.34,-993.377260331
34,0.35,-992.734566843
35,0.36,-991.66687166
36,0.37,-991.007239303
37,0.38,-990.224444973
38,0.39,-989.280458177
39,0.4,-988.235930996
40,0.41,-987.561436147
41,0.42,-987.057969237
42,0.43,-986.126331423
43,0.44,-985.401457099
44,0.45,-984.632978846
45,0.46,-983.797728663
46,0.47,-983.139954117
47,0.48,-982.20602136
48,0.49,-981.391753518
49,0.5,-980.783921317
50,0.51,-979.889439733
51,0.52,-979.221283299
52,0.53,-978.20571612
53,0.54,-977.712740381
54,0.55,-976.755530339
55,0.56,-976.114366813
56,0.57,-975.238135495
57,0.58,-974.70778496
58,0.59,-974.009575694
59,0.6,-973.367865754
60,0.61,-972.53403625
61,0.62,-971.687529915
62,0.63,-971.079806997
63,0.64,-970.217782472
64,0.65,-969.551046718
65,0.66,-968.811528468
66,0.67,-968.201619888
67,0.68,-967.474778469
68,0.69,-966.707393047
69,0.7,-966.029838273
70,0.71,-965.355343424
71,0.72,-964.619977929
72,0.73,-963.978814404
73,0.74,-963.203123471
74,0.75,-962.76675634
75,0.76,-961.896535588
76,0.77,-961.447819475
77,0.78,-960.451376826
78,0.79,-959.748796239
79,0.8,-959.260847519
80,0.81,-958.566900291
81,0.82,-958.050537984
82,0.83,-957.040762805
83,0.84,-956.346159879
84,0.85,-956.015688003
85,0.86,-955.325019266
86,0.87,-954.550421163
87,0.88,-953.969800436
88,0.89,-953.50654968
89,0.9,-952.77533694
90,0.91,-951.864900033
91,0.92,-951.521095627
92,0.93,-950.739503411
93,0.94,-950.073860487
94,0.95,-949.73901729
95,0.96,-948.924968014
96,0.97,-948.079882359
97,0.98,-947.809406864
98,0.99,-947.129229298
99,1.0,-946.354740479
100,1.01,-945.742646239
101,1.02,-945.137108981
102,1.03,-944.759754685
103,1.04,-944.190827241
104,1.05,-943.425190347
105,1.06,-942.929701098
106,1.07,-942.120350993
107,1.08,-941.611092082
108,1.09,-940.857039189
109,1.1,-940.255545403
110,1.11,-939.784754119
111,1.12,-939.030701225
112,1.13,-938.551276582
113,1.14,-937.824216596
114,1.15,-937.448610829
115,1.16,-936.89968218
116,1.17,-936.344196548
117,1.18,-935.661942604
118,1.19,-935.134979843
